BHK,sector,price,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
2,Sarjapur Road,1.32,1300.0,8,Unfurnished,East,available,2,1,"Garden/Park, Pool",Bangalore
2,Sarjapur Road,1.36,1348.0,2,Unfurnished,East,available,2,1,"Garden/Park, Pool",Bangalore
1,others,1.1,661.0,10+,Unfurnished,East,not sure,1,1,Main Road,Bangalore
3,Gunjur,1.6,1680.0,5,Unfurnished,East,not sure,3,2,Main Road,Bangalore
2,Gunjur,1.3,1181.0,8,Unfurnished,East,not sure,2,2,Main Road,Bangalore
3,Bagaluru,1.59,1720.0,10+,Unfurnished,East,not sure,3,2,Main Road,Bangalore
1,Sarjapur Road,0.932,699.0,10+,Unfurnished,East,not sure,1,1,Main Road,Bangalore
2,others,1.53,1458.0,10+,Unfurnished,East,not sure,2,1,Main Road,Bangalore
2,Thanisandra Main Road,1.12,1192.0,10+,Unfurnished,East,not sure,2,1,Main Road,Bangalore
3,others,2.39,1265.0,10+,Unfurnished,East,not sure,3,1,Main Road,Bangalore
3,Thanisandra Main Road,1.75,1578.0,10+,Unfurnished,East,not sure,3,2,Main Road,Bangalore
2,Whitefield,1.74,1472.0,10+,Unfurnished,East,not sure,2,2,Main Road,Bangalore
2,others,0.975,1945.0,10+,Unfurnished,East,not sure,2,1,Main Road,Bangalore
3,Thanisandra Main Road,1.69,1578.0,10+,Unfurnished,East,not sure,2,2,Main Road,Bangalore
3,Bagaluru,1.71,1670.0,10+,Unfurnished,East,not sure,3,2,Main Road,Bangalore
3,Whitefield,2.55,1970.0,10+,Unfurnished,East,not sure,3,3,Main Road,Bangalore
2,Thanisandra Main Road,1.13,1090.0,10+,Unfurnished,East,not sure,2,1,Main Road,Bangalore
3,Sarjapur Road,1.55,2178.0,10+,Unfurnished,East,available,3,1,Main Road,Bangalore
2,Yelahanka,0.78,988.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
1,Thanisandra,0.774,715.0,7,Unfurnished,East,available,1,1,Main Road,Bangalore
3,Outer Ring Road,1.54,1898.0,10+,Unfurnished,East,available,3,1,Main Road,Bangalore
2,others,0.534,1068.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
2,Krishnarajapura,1.4,1320.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
2,Gunjur,1.35,1300.0,9,Unfurnished,East,available,2,1,Main Road,Bangalore
3,Panathur,2.2,1915.0,3,Unfurnished,East,not sure,3,2,Main Road,Bangalore
3,Gunjur,1.6,1680.0,1,Unfurnished,East,available,2,2,"Garden/Park, Main Road, Pool",Bangalore
2,Gunjur,1.26,1344.0,5,Unfurnished,East,available,2,1,"Garden/Park, Pool",Bangalore
3,Jakkur,2.8,2015.0,1,Unfurnished,East,available,3,4,Main Road,Bangalore
3,Whitefield,2.03,1920.0,10+,Unfurnished,East,not sure,2,1,Main Road,Bangalore
2,Whitefield,1.06,1334.0,2,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
2,Thanisandra Main Road,1.26,1333.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
3,Sarjapur Road,1.77,1864.0,10+,Unfurnished,East,not sure,3,1,Main Road,Bangalore
2,others,1.2,1170.0,10+,Semi-Furnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
2,others,1.14,1240.0,10+,Unfurnished,East,not sure,2,1,Main Road,Bangalore
2,Whitefield,1.59,1405.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
1,Thanisandra,0.644,715.0,10+,Unfurnished,East,not sure,1,1,Main Road,Bangalore
3,Gunjur,1.56,1820.0,10+,Unfurnished,West,not sure,3,3,Main Road,Bangalore
3,others,1.3,1200.0,1,Semi-Furnished,East,available,3,3,Main Road,Bangalore
2,others,0.84,1445.0,3,Unfurnished,North,available,2,2,"Garden/Park, Main Road",Bangalore
2,others,0.887,1016.0,1,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
2,others,0.778,1180.0,4,Semi-Furnished,East,available,2,3,"Garden/Park, Pool",Bangalore
2,others,0.43,708.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
1,Sarjapura,0.42,500.0,2,Semi-Furnished,East,available,1,1,Pool,Bangalore
3,others,2.24,2135.0,3,Unfurnished,East,available,3,3,"Garden/Park, Pool",Bangalore
3,others,1.45,1625.0,3,Semi-Furnished,East,available,3,1,Garden/Park,Bangalore
3,others,0.99,1450.0,10+,Unfurnished,East,available,3,1,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.73,1815.0,10+,Unfurnished,East,not sure,3,1,Main Road,Bangalore
3,others,1.06,1480.0,10+,Unfurnished,East,not sure,3,1,Main Road,Bangalore
2,others,0.723,1166.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
3,Jakkur,1.26,1485.0,10+,Unfurnished,East,not sure,3,1,Main Road,Bangalore
2,others,1.07,1075.0,5,Unfurnished,East,not sure,2,1,Main Road,Bangalore
2,Sarjapura,0.821,1190.0,2,Unfurnished,East,available,2,2,Main Road,Bangalore
3,JP Nagar,2.2,1850.0,10+,Semi-Furnished,East,available,3,1,Main Road,Bangalore
2,others,0.825,1244.0,8,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
3,JP Nagar,1.15,1315.0,3,Unfurnished,East,available,2,1,Main Road,Bangalore
4,Jakkur,2.85,2799.0,3,Unfurnished,East,available,4,3,"Garden/Park, Pool",Bangalore
3,Panathur,1.46,1587.0,10,Unfurnished,East,available,3,2,"Garden/Park, Main Road, Pool",Bangalore
2,Yelahanka,0.73,1066.0,9,Unfurnished,East,available,2,1,"Garden/Park, Pool",Bangalore
3,Panathur,2.58,1612.0,10+,Unfurnished,East,available,3,1,Main Road,Bangalore
3,others,1.84,1736.0,10,Unfurnished,East,available,3,3,"Garden/Park, Main Road, Pool",Bangalore
3,Panathur,2.7,2490.0,10+,Unfurnished,East,available,3,1,Main Road,Bangalore
3,Gunjur,1.6,1680.0,7,Unfurnished,East,available,2,2,"Garden/Park, Main Road, Pool",Bangalore
3,Whitefield,2.75,1962.0,5,Unfurnished,East,available,3,3,Garden/Park,Bangalore
2,Gunjur,1.31,1248.0,5,Unfurnished,North,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
3,others,0.496,1240.0,3,Unfurnished,East,available,2,1,Garden/Park,Bangalore
3,Sarjapur Road,1.53,1606.0,10+,Semi-Furnished,East,available,3,1,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.09,1369.0,9,Unfurnished,North,available,2,1,Garden/Park,Bangalore
2,others,1.1,1000.0,9,Unfurnished,East,not sure,2,1,"Garden/Park, Main Road, Pool",Bangalore
3,Thanisandra,1.21,1345.0,10,Unfurnished,East,available,3,3,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.68,2471.0,2,Unfurnished,East,available,3,1,"Garden/Park, Main Road, Pool",Bangalore
3,Panathur,1.84,1600.0,7,Unfurnished,East,available,3,3,Main Road,Bangalore
3,others,1.52,1937.0,10,Unfurnished,East,available,3,2,"Garden/Park, Main Road",Bangalore
3,others,1.19,1254.0,10+,Unfurnished,North,available,3,3,Main Road,Bangalore
3,others,1.11,1281.0,6,Unfurnished,East,available,2,1,"Garden/Park, Pool",Bangalore
4,Sarjapura,2.92,3485.0,2,Unfurnished,East,available,4,3,Main Road,Bangalore
4,others,6.5,2160.0,10+,Unfurnished,East,available,4,4,Main Road,Bangalore
3,JP Nagar,1.2,1186.0,6,Unfurnished,North,not sure,2,1,"Garden/Park, Main Road, Pool",Bangalore
3,Whitefield,2.45,1915.0,4,Furnished,East,available,2,3,"Garden/Park, Main Road",Bangalore
4,others,3.45,2481.0,7,Unfurnished,East,available,4+,2,Garden/Park,Bangalore
3,Whitefield,2.54,1818.0,4,Unfurnished,East,available,3,1,"Garden/Park, Main Road, Pool",Bangalore
4,Whitefield,3.29,2616.0,10+,Unfurnished,East,available,4,2,"Garden/Park, Pool",Bangalore
1,Panathur,0.815,660.0,6,Unfurnished,North - East,available,1,1,"Garden/Park, Main Road, Pool",Bangalore
3,Gunjur,1.74,1600.0,8,Unfurnished,East,available,3,2,Main Road,Bangalore
3,others,2.0,1432.0,10+,Unfurnished,East,available,2,2,"Garden/Park, Main Road, Pool",Bangalore
4,Whitefield,3.3,2616.0,10+,Unfurnished,North - West,available,4+,2,Main Road,Bangalore
3,Panathur,2.3,1611.0,10+,Unfurnished,East,available,3,2,"Garden/Park, Main Road, Pool",Bangalore
3,Gunjur,1.57,1496.0,10+,Semi-Furnished,East,available,2,2,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.69,1434.0,10+,Unfurnished,East,available,3,1,"Garden/Park, Main Road, Pool",Bangalore
3,Sarjapur Road,1.52,1590.0,6,Semi-Furnished,East,available,3,1,"Garden/Park, Main Road, Pool",Bangalore
3,Panathur,2.3,1650.0,5,Semi-Furnished,East,available,3,1,"Garden/Park, Pool",Bangalore
2,others,1.12,1180.0,10,Unfurnished,North,available,2,2,Garden/Park,Bangalore
3,Panathur,2.58,1915.0,10,Unfurnished,North,available,3,1,"Garden/Park, Pool",Bangalore
3,others,2.7,1915.0,10+,Unfurnished,North,available,3,3,"Garden/Park, Main Road, Pool",Bangalore
4,Whitefield,5.74,3543.0,10+,Unfurnished,East,available,4+,4,"Garden/Park, Pool",Bangalore
2,Yelahanka,0.71,921.0,7,Unfurnished,East,available,2,1,Garden/Park,Bangalore
2,Thanisandra Main Road,1.1,1200.0,10,Semi-Furnished,East,available,2,1,"Garden/Park, Pool",Bangalore
2,Gunjur,1.28,1345.0,6,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
1,Thanisandra Main Road,0.873,970.0,4,Unfurnished,East,available,1,1,"Garden/Park, Main Road",Bangalore
3,Gunjur,1.8,1990.0,10+,Unfurnished,North,available,3,1,"Garden/Park, Main Road, Pool",Bangalore
3,others,2.15,1423.0,10,Unfurnished,West,available,3,1,"Garden/Park, Main Road",Bangalore
3,Panathur,2.5,1915.0,6,Unfurnished,East,available,3,1,Garden/Park,Bangalore
3,Whitefield,2.5,1818.0,10,Semi-Furnished,East,available,3,1,Garden/Park,Bangalore
3,Sarjapur Road,1.45,2127.0,6,Unfurnished,West,available,3,3,Garden/Park,Bangalore
3,others,2.8,2015.0,10,Semi-Furnished,East,available,3,2,Main Road,Bangalore
2,others,0.83,959.0,3,Unfurnished,East,not sure,2,1,Main Road,Bangalore
3,others,1.75,1748.0,8,Unfurnished,North - East,available,3,2,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.23,1432.0,8,Unfurnished,West,available,3,1,Main Road,Bangalore
